formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
NbClO2,2ClTaO2-1,TaClO2,pmma,41,Pmma,Rectangular (op),4.040024234385061,0.0,Yes,Ta→Nb,0.58,1.5,1.6,0.10000000000000009,2.0,1.98,0.020000000000000018,0.010000000000000009,low,False,NbClO2,pmma,pmma,True,False,known_composition_new_layergroup,2ClNbO2-1,p2_1/m11,,,,,,13,3.6677417755126953,True,2-4
NbO2F,2BrNbO2-1,NbBrO2,p2_1/m11,15,P2_1/m,Rectangular (op),3.4687266859580994,0.0,Yes,Br→F,0.625,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,NbO2F,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,2FNbO2-1,p1,,,,,,15,4.723151683807373,True,4-6
ScBr3,2ClScBr2-1,ScBr2Cl,cm11,13,Cm,Centered rectangular (oc),4.935391666345325,0.0,Yes,Cl→Br,0.825,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,ScBr3,cm11,cm11,True,False,known_composition_new_layergroup,2ScBr3-1;2ScBr3-3;2ScBr3-2,p-31m;p-62m;pmmm,,,,,,23,4.487738609313965,True,4-6
ScCl3,2ClScBr2-1,ScBr2Cl,cm11,13,Cm,Centered rectangular (oc),4.935391666345325,0.0,Yes,Br→Cl,0.85,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,ScCl3,cm11,cm11,True,False,known_composition_new_layergroup,2ScCl3-3;2ScCl3-1;2ScCl3-2,p6/mmm;p-31m;pmmm,,,,,,25,5.960155010223389,True,4-6
HC,1CSiH2-1,SiH2C,p3m1,69,P3m1,Hexagonal (hp),4.870741622325641,0.06208873425521372,Yes,Si→C,0.68,1.9,2.55,0.6499999999999999,1.11,0.67,0.44000000000000006,0.3963963963963964,high,True,HC,p3m1,p3m1,True,False,known_composition_new_layergroup,2CH-1,p-3m1,,,,,,26,5.5536346435546875,True,4-6
TaClO2,2ClNbO2-1,NbClO2,p2_1/m11,15,P2_1/m,Rectangular (op),4.452537269012865,0.012431175013481788,Yes,Nb→Ta,0.58,1.6,1.5,0.10000000000000009,1.98,2.0,0.020000000000000018,0.01010101010101011,low,False,TaClO2,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,2ClTaO2-1,pmma,,,,,,27,4.290022373199463,True,4-6
BeCl2,1MgCl2-1,MgCl2,p-3m1,72,P-3m1,Hexagonal (hp),7.294068617459455,2.9605947323337506e-16,Yes,Mg→Be,0.825,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,BeCl2,p-3m1,p-3m1,True,False,known_composition_new_layergroup,2BeCl2-1,p-4m2,,,,,,87,7.520969390869141,True,6-8
BeBr2,2SrBr2-1,SrBr2,pmmn,46,Pmmn,Rectangular (op),5.740809129410286,0.05414742903060107,Yes,Sr→Be,0.875,0.95,1.57,0.6200000000000001,2.19,1.12,1.0699999999999998,0.48858447488584467,high,True,BeBr2,pmmn,pmmn,True,False,known_composition_new_layergroup,2BeBr2-1,p-4m2,,,,,,96,5.76948881149292,True,4-6
SrF2,2SrBr2-1,SrBr2,pmmn,46,Pmmn,Rectangular (op),5.740809129410286,0.05414742903060107,Yes,Br→F,0.955,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,SrF2,pmmn,pmmn,True,False,known_composition_new_layergroup,1SrF2-2;1SrF2-1;1SrF2-3,p-4m2;p-3m1;p-6m2,,,,,,99,9.162847518920898,True,8-10
SrI2,2SrBr2-1,SrBr2,pmmn,46,Pmmn,Rectangular (op),5.740809129410286,0.05414742903060107,Yes,Br→I,0.97,2.96,2.66,0.2999999999999998,0.94,1.15,0.20999999999999996,0.2234042553191489,medium,True,SrI2,pmmn,pmmn,True,False,known_composition_new_layergroup,1SrI2-3;1SrI2-2;1SrI2-1,p-4m2;p-6m2;p-3m1,,,,,,100,3.508294105529785,True,2-4
